CNS,COD_MCPIO,MCPIO
61.2,76250,El Dovio
75.0,76275,Florida
96.8,76306,Ginebra
70.3,76318,Guacarí
69.1,76364,Jamundí
85.7,76377,La Cumbre
73.6,76400,La Unión
81.5,76403,La Victoria
54.5,76497,Obando
83.2,76520,Palmira
60.6,76563,Pradera
73.8,76606,Restrepo
68.9,76616,Riofrío
86.7,76622,Roldanillo
57.0,76670,San Pedro
64.0,76736,Sevilla
60.1,76823,Toro
71.6,76828,Trujillo
85.1,76834,Tuluá
51.1,76845,Ulloa
72.7,76863,Versalles
80.1,76869,Vijes
64.0,76890,Yotoco
77.6,76892,Yumbo
73.3,76895,Zarzal
59.0,81001,Arauca
49.0,81065,Arauquita
51.6,81220,Cravo Norte
36.9,81300,Fortul
52.0,81591,Puerto Rondón
60.5,81736,Saravena
60.0,81794,Tame
85.7,85001,Yopal
82.3,85010,Aguazul
77.9,85015,Chameza
67.5,85125,Hato Corozal
74.6,85136,La Salina
95.4,85139,Maní
92.8,85162,Monterrey
59.0,85225,Nunchía
84.3,85230,Orocué
